# tildes_es.tsv — mapa de restauración de tildes del español (es-419).
# Formato: <forma_sin_tilde>\t<forma_con_tilde>, una entrada por línea.
# Las líneas que empiezan con '#' y las vacías se ignoran al cargar.
#
# Solo contiene palabras cuya forma SIN tilde NO existe en español, de modo
# que añadir la tilde jamás cambia el significado (codigo -> código). Las
# tildes diacríticas que dependen del contexto (esta/está, mas/más,
# numero/número) se excluyen A PROPÓSITO: su forma sin tilde también es una
# palabra válida y decidir requiere contexto que estas reglas no tienen.
#
# Derivado de dos fuentes, en tiempo de generación (no en runtime):
#  · RLA-ES / diccionario de español de LibreOffice, como oráculo de validez
#    léxica. Tri-licencia GPLv3 / LGPLv3 / MPL; este archivo derivado se
#    distribuye bajo MPL. Ver ATTRIBUTION.md.
#  · hermitdave/FrequencyWords (OpenSubtitles 2018, MIT) para elegir los
#    objetivos frecuentes y descartar ruido.
# Generado por scripts/gen_tildes.mjs — no editar a mano.
antropologia	antropología
antropologica	antropológica
antropologico	antropológico
antropologo	antropólogo
antropologos	antropólogos
anulacion	anulación
anularia	anularía
anunciacion	anunciación
anuncialo	anúncialo
anunciame	anúnciame
anunciaria	anunciaría
aortica	aórtica
aortico	aórtico
apagala	apágala
apagalas	apágalas
apagalo	apágalo
apagalos	apágalos
apagandose	apagándose
apagaria	apagaría
apagon	apagón
aparcalo	apárcalo
apareandose	apareándose
apareceis	aparecéis
aparecera	aparecerá
apareceran	aparecerán
apareceras	aparecerás
aparecere	apareceré
apareceria	aparecería
aparecerian	aparecerían
aparecerias	aparecerías
apareci	aparecí
aparecia	aparecía
aparecian	aparecían
aparecias	aparecías
apareciendose	apareciéndose
aparecio	apareció
aparicion	aparición
apartala	apártala
apartalo	apártalo
apartaria	apartaría
apartate	apártate
aparteis	apartéis
apartense	apártense
apartese	apártese
apatia	apatía
apatica	apática
apatico	apático
apaticos	apáticos
apañarselas	apañárselas
apelacion	apelación
apendice	apéndice
apendicectomia	apendicectomía
apendices	apéndices
apestais	apestáis
apestaria	apestaría
apetecera	apetecerá
apeteceria	apetecería
apetecia	apetecía
apetecio	apeteció
apiadate	apiádate
apiadese	apiádese
apice	ápice
aplastalo	aplástalo
aplastalos	aplástalos
aplastaria	aplastaría
aplastarian	aplastarían
aplaudia	aplaudía
aplaudian	aplaudían
aplaudio	aplaudió
aplaudiran	aplaudirán
aplaudire	aplaudiré
aplaudiria	aplaudiría
aplicacion	aplicación
aplicaria	aplicaría
aplicate	aplícate
apocaliptica	apocalíptica
apocalipticas	apocalípticas
apocaliptico	apocalíptico
apocalipticos	apocalípticos
apocrifo	apócrifo
apoderandose	apoderándose
apolitico	apolítico
apologia	apología
apoplejia	apoplejía
apoplejias	apoplejías
aportacion	aportación
aportaria	aportaría
aposito	apósito
apositos	apósitos
apostais	apostáis
apostaria	apostaría
apostarias	apostarías
apostasia	apostasía
apostol	apóstol
apostoles	apóstoles
apostolica	apostólica
apostolico	apostólico
apoyabamos	apoyábamos
apoyais	apoyáis
apoyame	apóyame
apoyandola	apoyándola
apoyandole	apoyándole
apoyandolo	apoyándolo
apoyandome	apoyándome
apoyandonos	apoyándonos
apoyandose	apoyándose
apoyandote	apoyándote
apoyaria	apoyaría
apoyarian	apoyarían
apoyarias	apoyarías
apoyate	apóyate
apoyese	apóyese
apreciacion	apreciación
apreciais	apreciáis
apreciaria	apreciaría
apreciariamos	apreciaríamos
apreciarian	apreciarían
apreciarias	apreciarías
aprehension	aprehensión
aprendais	aprendáis
aprendeis	aprendéis
aprendelo	apréndelo
aprendera	aprenderá
aprenderan	aprenderán
aprenderas	aprenderás
aprendere	aprenderé
aprendereis	aprenderéis
aprenderia	aprendería
aprenderiamos	aprenderíamos
aprenderian	aprenderían
aprenderias	aprenderías
aprendi	aprendí
aprendia	aprendía
aprendiamos	aprendíamos
aprendian	aprendían
aprendias	aprendías
aprendio	aprendió
aprension	aprensión
apresuraria	apresuraría
apresurate	apresúrate
apresuremonos	apresurémonos
apresurense	apresúrense
apresurese	apresúrese
apretaria	apretaría
aprete	apreté
apreto	apretó
apreton	apretón
aprietala	apriétala
aprietalo	apriétalo
aprietame	apriétame
aprobacion	aprobación
aprobais	aprobáis
aprobaria	aprobaría
aprobarian	aprobarían
aprobarias	aprobarías
aprobe	aprobé
aprobo	aprobó
apropiacion	apropiación
aproposito	apropósito
aprovechais	aprovecháis
aprovechala	aprovéchala
aprovechalo	aprovéchalo
aprovechandome	aprovechándome
aprovechandose	aprovechándose
aprovechandote	aprovechándote
aprovecharia	aprovecharía
aprovecharian	aprovecharían
aprovechate	aprovéchate
aproximacion	aproximación
aproximandome	aproximándome
aproximandonos	aproximándonos
aproximandose	aproximándose
aproximate	aproxímate
aproximense	aproxímense
aproximese	aproxímese
apuntais	apuntáis
apuntame	apúntame
apuntandole	apuntándole
apuntandoles	apuntándoles
apuntandome	apuntándome
apuntandonos	apuntándonos
apuntandote	apuntándote
apuntaria	apuntaría
apuntate	apúntate
apuraria	apuraría
apurate	apúrate
apuremonos	apurémonos
apurense	apúrense
apurese	apúrese
apuñalaria	apuñalaría
aqui	aquí
arabe	árabe
arabes	árabes
arabiga	arábiga
arabigo	arábigo
aracnido	arácnido
aracnidos	arácnidos
arandano	arándano
arandanos	arándanos
arbitros	árbitros
arbol	árbol
arcangel	arcángel
arcangeles	arcángeles
arcen	arcén
archidiacono	archidiácono
archidiocesis	archidiócesis
archipielago	archipiélago
arcoiris	arcoíris
arcon	arcón
ardera	arderá
arderan	arderán
arderas	arderás
ardere	arderé
arderia	ardería
ardia	ardía
ardian	ardían
ardio	ardió
area	área
areas	áreas
argon	argón
argumentacion	argumentación
arida	árida
aridas	áridas
arido	árido
aridos	áridos
aristocrata	aristócrata
aristocratas	aristócratas
aristocratica	aristocrática
aristocratico	aristocrático
aristocraticos	aristocráticos
aritmetica	aritmética
arlequin	arlequín
armamentistica	armamentística
armamentistico	armamentístico
armaria	armaría
armate	ármate
armazon	armazón
armeis	arméis
armense	ármense
armeria	armería
armerias	armerías
armonia	armonía
armonias	armonías
armonica	armónica
armonicas	armónicas
armonico	armónico
armonicos	armónicos
arnes	arnés
arnica	árnica
aromatica	aromática
aromaticas	aromáticas
aromatico	aromático
aromaticos	aromáticos
arpia	arpía
arpias	arpías
arpon	arpón
arqueologa	arqueóloga
arqueologia	arqueología
arqueologica	arqueológica
arqueologicas	arqueológicas
arqueologico	arqueológico
arqueologicos	arqueológicos
arqueologo	arqueólogo
arqueologos	arqueólogos
arqueria	arquería
arquidiocesis	arquidiócesis
arquitectonica	arquitectónica
arquitectonicas	arquitectónicas
arquitectonico	arquitectónico
arquitectonicos	arquitectónicos
arrancame	arráncame
arrancandole	arrancándole
